Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2020,June,1 North West Metro, Banyule,"6,939","5,242.0"
2020,June,1 North West Metro, Brimbank,"15,654","7,447.2"
2020,June,1 North West Metro, Darebin,"11,703","7,058.5"
2020,June,1 North West Metro, Hobsons Bay,"4,747","4,814.6"
2020,June,1 North West Metro, Hume,"15,663","6,487.9"
2020,June,1 North West Metro, Maribyrnong,"7,317","7,650.0"
2020,June,1 North West Metro, Melbourne,"26,405","14,082.7"
2020,June,1 North West Metro, Melton,"9,615","5,590.4"
2020,June,1 North West Metro, Moonee Valley,"6,646","5,033.2"
2020,June,1 North West Metro, Moreland,"11,058","5,859.9"
2020,June,1 North West Metro, Nillumbik,"1,630","2,501.0"
2020,June,1 North West Metro, Whittlesea,"12,091","5,102.4"
2020,June,1 North West Metro, Wyndham,"13,763","4,855.2"
2020,June,1 North West Metro, Yarra,"11,466","11,116.3"
2020,June,1 North West Metro,Total,"154,697","6,688.1"
2020,June,2 Eastern, Alpine,440,"3,421.9"
2020,June,2 Eastern, Bass Coast,"1,859","5,015.0"
2020,June,2 Eastern, Baw Baw,"3,608","6,599.4"
2020,June,2 Eastern, Benalla,952,"6,765.0"
2020,June,2 Eastern, Boroondara,"6,776","3,674.3"
2020,June,2 Eastern, East Gippsland,"3,679","7,699.1"
2020,June,2 Eastern, Greater Shepparton,"6,345","9,488.4"
2020,June,2 Eastern, Indigo,444,"2,637.6"
2020,June,2 Eastern, Knox,"9,074","5,490.5"
2020,June,2 Eastern, Latrobe,"10,089","13,290.6"
2020,June,2 Eastern, Manningham,"3,586","2,786.9"
2020,June,2 Eastern, Mansfield,324,"3,486.3"
2020,June,2 Eastern, Maroondah,"5,876","4,909.2"
2020,June,2 Eastern, Mitchell,"3,183","6,641.3"
2020,June,2 Eastern, Moira,"1,767","5,888.2"
2020,June,2 Eastern, Monash,"9,538","4,686.1"
2020,June,2 Eastern, Murrindindi,633,"4,297.5"
2020,June,2 Eastern, South Gippsland,"1,289","4,279.5"
2020,June,2 Eastern, Strathbogie,430,"3,952.1"
2020,June,2 Eastern, Towong,156,"2,578.4"
2020,June,2 Eastern, Wangaratta,"1,797","6,120.7"
2020,June,2 Eastern, Wellington,"3,320","7,445.1"
2020,June,2 Eastern, Whitehorse,"7,406","4,117.6"
2020,June,2 Eastern, Wodonga,"2,830","6,589.5"
2020,June,2 Eastern, Yarra Ranges,"6,171","3,847.1"
2020,June,2 Eastern,Total,"91,572","5,281.5"
2020,June,3 Southern Metro, Bayside,"4,067","3,776.1"
2020,June,3 Southern Metro, Cardinia,"5,458","4,657.9"
2020,June,3 Southern Metro, Casey,"17,424","4,771.1"
2020,June,3 Southern Metro, Frankston,"11,282","7,848.2"
2020,June,3 Southern Metro, Glen Eira,"6,317","4,013.5"
2020,June,3 Southern Metro, Greater Dandenong,"14,589","8,582.7"
2020,June,3 Southern Metro, Kingston,"8,930","5,347.3"
2020,June,3 Southern Metro, Mornington Peninsula,"8,732","5,162.4"
2020,June,3 Southern Metro, Port Phillip,"9,912","8,419.9"
2020,June,3 Southern Metro, Stonnington,"9,369","7,879.1"
2020,June,3 Southern Metro,Total,"96,080","5,880.1"
2020,June,4 Western, Ararat,"1,005","8,472.6"
2020,June,4 Western, Ballarat,"8,487","7,613.5"
2020,June,4 Western, Buloke,281,"4,618.6"
2020,June,4 Western, Campaspe,"2,658","7,062.3"
2020,June,4 Western, Central Goldfields,863,"6,524.7"
2020,June,4 Western, Colac-Otway,"1,385","6,414.6"
2020,June,4 Western, Corangamite,576,"3,617.7"
2020,June,4 Western, Gannawarra,592,"5,663.8"
2020,June,4 Western, Glenelg,"1,149","5,852.7"
2020,June,4 Western, Golden Plains,470,"1,939.1"
2020,June,4 Western, Greater Bendigo,"8,282","6,902.3"
2020,June,4 Western, Greater Geelong,"17,145","6,475.6"
2020,June,4 Western, Hepburn,699,"4,350.8"
2020,June,4 Western, Hindmarsh,256,"4,628.3"
2020,June,4 Western, Horsham,"1,465","7,350.5"
2020,June,4 Western, Loddon,366,"4,886.2"
2020,June,4 Western, Macedon Ranges,"1,739","3,407.3"
2020,June,4 Western, Mildura,"5,526","9,866.5"
2020,June,4 Western, Moorabool,"1,714","4,764.3"
2020,June,4 Western, Mount Alexander,849,"4,262.7"
2020,June,4 Western, Moyne,502,"2,945.2"
2020,June,4 Western, Northern Grampians,778,"6,868.1"
2020,June,4 Western, Pyrenees,363,"4,853.4"
2020,June,4 Western, Queenscliffe,99,"3,352.2"
2020,June,4 Western, Southern Grampians,892,"5,547.1"
2020,June,4 Western, Surf Coast,"1,058","3,086.0"
2020,June,4 Western, Swan Hill,"1,760","8,549.8"
2020,June,4 Western, Warrnambool,"2,404","6,794.0"
2020,June,4 Western, West Wimmera,135,"3,552.3"
2020,June,4 Western, Yarriambiack,361,"5,479.0"
2020,June,4 Western,Total,"63,859","6,234.1"
2020,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,431",
2020,June,Justice Institutions and Immigration Facilities,Total,"1,431",
2020,June,Unincorporated Vic, Unincorporated Vic,111,
2020,June,Unincorporated Vic,Total,111,
2019,June,1 North West Metro, Banyule,"7,045","5,352.1"
2019,June,1 North West Metro, Brimbank,"14,169","6,762.5"
2019,June,1 North West Metro, Darebin,"11,169","6,802.7"
2019,June,1 North West Metro, Hobsons Bay,"4,868","4,980.0"
2019,June,1 North West Metro, Hume,"15,701","6,725.0"
2019,June,1 North West Metro, Maribyrnong,"6,668","7,135.5"
2019,June,1 North West Metro, Melbourne,"26,138","14,605.9"
2019,June,1 North West Metro, Melton,"8,330","5,051.7"
2019,June,1 North West Metro, Moonee Valley,"6,255","4,800.7"
2019,June,1 North West Metro, Moreland,"10,989","5,915.5"
2019,June,1 North West Metro, Nillumbik,"1,686","2,590.1"
2019,June,1 North West Metro, Whittlesea,"11,904","5,170.3"
2019,June,1 North West Metro, Wyndham,"11,726","4,335.1"
2019,June,1 North West Metro, Yarra,"10,984","10,822.2"
2019,June,1 North West Metro,Total,"147,632","6,540.4"
2019,June,2 Eastern, Alpine,412,"3,215.2"
2019,June,2 Eastern, Bass Coast,"1,810","4,983.5"
2019,June,2 Eastern, Baw Baw,"3,338","6,251.4"
2019,June,2 Eastern, Benalla,920,"6,554.1"
2019,June,2 Eastern, Boroondara,"5,586","3,049.1"
2019,June,2 Eastern, East Gippsland,"3,241","6,849.7"
2019,June,2 Eastern, Greater Shepparton,"6,200","9,323.6"
2019,June,2 Eastern, Indigo,410,"2,454.9"
2019,June,2 Eastern, Knox,"8,046","4,890.1"
2019,June,2 Eastern, Latrobe,"9,822","12,998.8"
2019,June,2 Eastern, Manningham,"3,517","2,756.9"
2019,June,2 Eastern, Mansfield,328,"3,574.5"
2019,June,2 Eastern, Maroondah,"6,033","5,088.6"
2019,June,2 Eastern, Mitchell,"3,074","6,670.7"
2019,June,2 Eastern, Moira,"1,792","5,988.3"
2019,June,2 Eastern, Monash,"8,217","4,050.8"
2019,June,2 Eastern, Murrindindi,570,"3,912.1"
2019,June,2 Eastern, South Gippsland,"1,136","3,797.6"
2019,June,2 Eastern, Strathbogie,480,"4,452.3"
2019,June,2 Eastern, Towong,164,"2,715.2"
2019,June,2 Eastern, Wangaratta,"1,691","5,793.7"
2019,June,2 Eastern, Wellington,"3,013","6,789.1"
2019,June,2 Eastern, Whitehorse,"6,480","3,625.4"
2019,June,2 Eastern, Wodonga,"2,460","5,845.6"
2019,June,2 Eastern, Yarra Ranges,"5,808","3,642.2"
2019,June,2 Eastern,Total,"84,548","4,916.4"
2019,June,3 Southern Metro, Bayside,"3,797","3,553.2"
2019,June,3 Southern Metro, Cardinia,"4,842","4,317.1"
2019,June,3 Southern Metro, Casey,"16,410","4,637.3"
2019,June,3 Southern Metro, Frankston,"10,752","7,537.7"
2019,June,3 Southern Metro, Glen Eira,"5,081","3,246.4"
2019,June,3 Southern Metro, Greater Dandenong,"14,375","8,546.3"
2019,June,3 Southern Metro, Kingston,"8,771","5,290.7"
2019,June,3 Southern Metro, Mornington Peninsula,"8,086","4,823.5"
2019,June,3 Southern Metro, Port Phillip,"9,674","8,368.4"
2019,June,3 Southern Metro, Stonnington,"8,235","6,992.6"
2019,June,3 Southern Metro,Total,"90,023","5,601.8"
2019,June,4 Western, Ararat,853,"7,201.4"
2019,June,4 Western, Ballarat,"8,121","7,416.1"
2019,June,4 Western, Buloke,203,"3,314.8"
2019,June,4 Western, Campaspe,"3,017","8,019.2"
2019,June,4 Western, Central Goldfields,882,"6,688.9"
2019,June,4 Western, Colac-Otway,"1,262","5,852.3"
2019,June,4 Western, Corangamite,489,"3,052.4"
2019,June,4 Western, Gannawarra,648,"6,187.9"
2019,June,4 Western, Glenelg,949,"4,823.6"
2019,June,4 Western, Golden Plains,469,"1,977.1"
2019,June,4 Western, Greater Bendigo,"8,366","7,084.2"
2019,June,4 Western, Greater Geelong,"15,845","6,119.3"
2019,June,4 Western, Hepburn,643,"4,025.0"
2019,June,4 Western, Hindmarsh,258,"4,617.0"
2019,June,4 Western, Horsham,"1,373","6,892.2"
2019,June,4 Western, Loddon,377,"5,024.0"
2019,June,4 Western, Macedon Ranges,"1,794","3,571.5"
2019,June,4 Western, Mildura,"5,349","9,590.0"
2019,June,4 Western, Moorabool,"1,613","4,602.1"
2019,June,4 Western, Mount Alexander,850,"4,302.9"
2019,June,4 Western, Moyne,487,"2,872.6"
2019,June,4 Western, Northern Grampians,740,"6,490.1"
2019,June,4 Western, Pyrenees,394,"5,273.0"
2019,June,4 Western, Queenscliffe,123,"4,183.7"
2019,June,4 Western, Southern Grampians,"1,015","6,304.3"
2019,June,4 Western, Surf Coast,922,"2,755.9"
2019,June,4 Western, Swan Hill,"1,844","8,930.2"
2019,June,4 Western, Warrnambool,"2,936","8,345.4"
2019,June,4 Western, West Wimmera,144,"3,749.0"
2019,June,4 Western, Yarriambiack,298,"4,488.6"
2019,June,4 Western,Total,"62,264","6,157.5"
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,393",
2019,June,Justice Institutions and Immigration Facilities,Total,"1,393",
2019,June,Unincorporated Vic, Unincorporated Vic,99,
2019,June,Unincorporated Vic,Total,99,
2018,June,1 North West Metro, Banyule,"7,299","5,603.8"
2018,June,1 North West Metro, Brimbank,"14,229","6,816.5"
2018,June,1 North West Metro, Darebin,"11,419","7,063.9"
2018,June,1 North West Metro, Hobsons Bay,"4,823","4,998.9"
2018,June,1 North West Metro, Hume,"15,440","6,879.9"
2018,June,1 North West Metro, Maribyrnong,"6,746","7,379.7"
2018,June,1 North West Metro, Melbourne,"27,570","16,187.5"
2018,June,1 North West Metro, Melton,"8,116","5,178.7"
2018,June,1 North West Metro, Moonee Valley,"6,776","5,297.6"
2018,June,1 North West Metro, Moreland,"11,191","6,156.3"
2018,June,1 North West Metro, Nillumbik,"1,726","2,657.8"
2018,June,1 North West Metro, Whittlesea,"11,570","5,180.3"
2018,June,1 North West Metro, Wyndham,"11,051","4,327.5"
2018,June,1 North West Metro, Yarra,"10,909","11,067.6"
2018,June,1 North West Metro,Total,"148,865","6,791.6"
2018,June,2 Eastern, Alpine,349,"2,741.6"
2018,June,2 Eastern, Bass Coast,"1,643","4,651.0"
2018,June,2 Eastern, Baw Baw,"2,994","5,756.4"
2018,June,2 Eastern, Benalla,949,"6,767.5"
2018,June,2 Eastern, Boroondara,"5,621","3,099.1"
2018,June,2 Eastern, East Gippsland,"3,183","6,799.0"
2018,June,2 Eastern, Greater Shepparton,"6,033","9,139.8"
2018,June,2 Eastern, Indigo,307,"1,861.8"
2018,June,2 Eastern, Knox,"8,461","5,184.1"
2018,June,2 Eastern, Latrobe,"9,644","12,822.9"
2018,June,2 Eastern, Manningham,"3,622","2,885.3"
2018,June,2 Eastern, Mansfield,385,"4,287.8"
2018,June,2 Eastern, Maroondah,"5,843","4,972.6"
2018,June,2 Eastern, Mitchell,"3,076","6,943.9"
2018,June,2 Eastern, Moira,"1,478","4,960.2"
2018,June,2 Eastern, Monash,"8,383","4,187.1"
2018,June,2 Eastern, Murrindindi,563,"3,888.7"
2018,June,2 Eastern, South Gippsland,945,"3,195.3"
2018,June,2 Eastern, Strathbogie,446,"4,190.2"
2018,June,2 Eastern, Towong,166,"2,742.0"
2018,June,2 Eastern, Wangaratta,"1,747","6,006.3"
2018,June,2 Eastern, Wellington,"2,728","6,197.6"
2018,June,2 Eastern, Whitehorse,"6,404","3,633.0"
2018,June,2 Eastern, Wodonga,"2,390","5,768.9"
2018,June,2 Eastern, Yarra Ranges,"5,568","3,520.2"
2018,June,2 Eastern,Total,"82,928","4,880.3"
2018,June,3 Southern Metro, Bayside,"3,884","3,673.0"
2018,June,3 Southern Metro, Cardinia,"4,397","4,104.9"
2018,June,3 Southern Metro, Casey,"14,895","4,375.2"
2018,June,3 Southern Metro, Frankston,"11,097","7,823.2"
2018,June,3 Southern Metro, Glen Eira,"5,063","3,289.4"
2018,June,3 Southern Metro, Greater Dandenong,"13,885","8,357.4"
2018,June,3 Southern Metro, Kingston,"8,011","4,901.1"
2018,June,3 Southern Metro, Mornington Peninsula,"8,369","5,046.9"
2018,June,3 Southern Metro, Port Phillip,"9,721","8,582.5"
2018,June,3 Southern Metro, Stonnington,"8,182","7,036.4"
2018,June,3 Southern Metro,Total,"87,504","5,559.2"
2018,June,4 Western, Ararat,884,"7,494.7"
2018,June,4 Western, Ballarat,"8,660","8,069.0"
2018,June,4 Western, Buloke,184,"2,975.9"
2018,June,4 Western, Campaspe,"2,557","6,802.3"
2018,June,4 Western, Central Goldfields,993,"7,518.2"
2018,June,4 Western, Colac-Otway,"1,270","5,906.4"
2018,June,4 Western, Corangamite,593,"3,674.3"
2018,June,4 Western, Gannawarra,423,"4,011.0"
2018,June,4 Western, Glenelg,"1,108","5,634.7"
2018,June,4 Western, Golden Plains,504,"2,180.1"
2018,June,4 Western, Greater Bendigo,"7,138","6,151.3"
2018,June,4 Western, Greater Geelong,"16,155","6,404.9"
2018,June,4 Western, Hepburn,642,"4,060.2"
2018,June,4 Western, Hindmarsh,241,"4,270.0"
2018,June,4 Western, Horsham,"1,640","8,252.0"
2018,June,4 Western, Loddon,337,"4,485.6"
2018,June,4 Western, Macedon Ranges,"1,508","3,053.4"
2018,June,4 Western, Mildura,"5,100","9,186.5"
2018,June,4 Western, Moorabool,"1,741","5,097.2"
2018,June,4 Western, Mount Alexander,667,"3,418.1"
2018,June,4 Western, Moyne,427,"2,528.6"
2018,June,4 Western, Northern Grampians,772,"6,754.2"
2018,June,4 Western, Pyrenees,326,"4,433.6"
2018,June,4 Western, Queenscliffe,94,"3,152.2"
2018,June,4 Western, Southern Grampians,"1,087","6,737.3"
2018,June,4 Western, Surf Coast,892,"2,765.7"
2018,June,4 Western, Swan Hill,"1,773","8,540.5"
2018,June,4 Western, Warrnambool,"2,704","7,756.1"
2018,June,4 Western, West Wimmera,114,"2,951.8"
2018,June,4 Western, Yarriambiack,347,"5,211.8"
2018,June,4 Western,Total,"60,881","6,112.9"
2018,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,492",
2018,June,Justice Institutions and Immigration Facilities,Total,"1,492",
2018,June,Unincorporated Vic, Unincorporated Vic,107,
2018,June,Unincorporated Vic,Total,107,
2017,June,1 North West Metro, Banyule,"7,498","5,807.2"
2017,June,1 North West Metro, Brimbank,"13,919","6,724.3"
2017,June,1 North West Metro, Darebin,"12,705","8,003.1"
2017,June,1 North West Metro, Hobsons Bay,"5,113","5,378.1"
2017,June,1 North West Metro, Hume,"16,251","7,550.2"
2017,June,1 North West Metro, Maribyrnong,"6,787","7,595.0"
2017,June,1 North West Metro, Melbourne,"27,048","16,996.2"
2017,June,1 North West Metro, Melton,"8,568","5,765.1"
2017,June,1 North West Metro, Moonee Valley,"7,479","5,963.6"
2017,June,1 North West Metro, Moreland,"11,399","6,441.1"
2017,June,1 North West Metro, Nillumbik,"2,093","3,239.0"
2017,June,1 North West Metro, Whittlesea,"12,217","5,664.3"
2017,June,1 North West Metro, Wyndham,"11,450","4,749.6"
2017,June,1 North West Metro, Yarra,"11,130","11,594.5"
2017,June,1 North West Metro,Total,"153,657","7,241.0"
2017,June,2 Eastern, Alpine,279,"2,207.6"
2017,June,2 Eastern, Bass Coast,"2,049","5,958.8"
2017,June,2 Eastern, Baw Baw,"2,832","5,588.4"
2017,June,2 Eastern, Benalla,983,"7,034.5"
2017,June,2 Eastern, Boroondara,"6,770","3,767.9"
2017,June,2 Eastern, East Gippsland,"2,921","6,331.3"
2017,June,2 Eastern, Greater Shepparton,"6,161","9,398.4"
2017,June,2 Eastern, Indigo,367,"2,247.0"
2017,June,2 Eastern, Knox,"9,172","5,667.8"
2017,June,2 Eastern, Latrobe,"9,973","13,313.7"
2017,June,2 Eastern, Manningham,"4,044","3,254.2"
2017,June,2 Eastern, Mansfield,506,"5,752.6"
2017,June,2 Eastern, Maroondah,"6,767","5,817.5"
2017,June,2 Eastern, Mitchell,"2,995","6,980.9"
2017,June,2 Eastern, Moira,"1,470","4,957.5"
2017,June,2 Eastern, Monash,"8,934","4,536.8"
2017,June,2 Eastern, Murrindindi,515,"3,618.1"
2017,June,2 Eastern, South Gippsland,"1,167","3,980.1"
2017,June,2 Eastern, Strathbogie,453,"4,320.9"
2017,June,2 Eastern, Towong,173,"2,864.7"
2017,June,2 Eastern, Wangaratta,"1,864","6,460.3"
2017,June,2 Eastern, Wellington,"3,081","7,034.1"
2017,June,2 Eastern, Whitehorse,"6,833","3,943.7"
2017,June,2 Eastern, Wodonga,"2,513","6,157.5"
2017,June,2 Eastern, Yarra Ranges,"6,162","3,928.1"
2017,June,2 Eastern,Total,"88,984","5,300.9"
2017,June,3 Southern Metro, Bayside,"4,008","3,843.4"
2017,June,3 Southern Metro, Cardinia,"5,007","4,889.5"
2017,June,3 Southern Metro, Casey,"17,225","5,271.3"
2017,June,3 Southern Metro, Frankston,"11,904","8,459.5"
2017,June,3 Southern Metro, Glen Eira,"5,797","3,827.5"
2017,June,3 Southern Metro, Greater Dandenong,"14,877","9,098.1"
2017,June,3 Southern Metro, Kingston,"8,282","5,142.5"
2017,June,3 Southern Metro, Mornington Peninsula,"8,938","5,455.5"
2017,June,3 Southern Metro, Port Phillip,"10,320","9,326.2"
2017,June,3 Southern Metro, Stonnington,"8,675","7,624.9"
2017,June,3 Southern Metro,Total,"95,033","6,177.1"
2017,June,4 Western, Ararat,945,"8,038.4"
2017,June,4 Western, Ballarat,"9,299","8,820.7"
2017,June,4 Western, Buloke,137,"2,207.9"
2017,June,4 Western, Campaspe,"2,681","7,130.9"
2017,June,4 Western, Central Goldfields,864,"6,571.3"
2017,June,4 Western, Colac-Otway,"1,620","7,559.5"
2017,June,4 Western, Corangamite,819,"5,052.4"
2017,June,4 Western, Gannawarra,531,"5,024.1"
2017,June,4 Western, Glenelg,"1,351","6,860.7"
2017,June,4 Western, Golden Plains,541,"2,397.2"
2017,June,4 Western, Greater Bendigo,"7,868","6,896.2"
2017,June,4 Western, Greater Geelong,"17,832","7,256.8"
2017,June,4 Western, Hepburn,685,"4,382.9"
2017,June,4 Western, Hindmarsh,286,"5,001.7"
2017,June,4 Western, Horsham,"1,700","8,549.2"
2017,June,4 Western, Loddon,350,"4,662.3"
2017,June,4 Western, Macedon Ranges,"1,690","3,490.1"
2017,June,4 Western, Mildura,"5,150","9,339.5"
2017,June,4 Western, Moorabool,"2,012","6,016.4"
2017,June,4 Western, Mount Alexander,866,"4,487.7"
2017,June,4 Western, Moyne,524,"3,120.3"
2017,June,4 Western, Northern Grampians,922,"8,005.6"
2017,June,4 Western, Pyrenees,360,"4,892.6"
2017,June,4 Western, Queenscliffe,134,"4,528.6"
2017,June,4 Western, Southern Grampians,"1,019","6,320.2"
2017,June,4 Western, Surf Coast,"1,119","3,569.7"
2017,June,4 Western, Swan Hill,"1,769","8,485.6"
2017,June,4 Western, Warrnambool,"2,722","7,874.1"
2017,June,4 Western, West Wimmera,134,"3,441.2"
2017,June,4 Western, Yarriambiack,350,"5,236.4"
2017,June,4 Western,Total,"66,280","6,752.6"
2017,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,258",
2017,June,Justice Institutions and Immigration Facilities,Total,"1,258",
2017,June,Unincorporated Vic, Unincorporated Vic,122,
2017,June,Unincorporated Vic,Total,122,
2016,June,1 North West Metro, Banyule,"7,245","5,684.7"
2016,June,1 North West Metro, Brimbank,"15,303","7,494.5"
2016,June,1 North West Metro, Darebin,"12,467","8,036.7"
2016,June,1 North West Metro, Hobsons Bay,"5,467","5,850.5"
2016,June,1 North West Metro, Hume,"16,259","7,853.0"
2016,June,1 North West Metro, Maribyrnong,"7,402","8,513.7"
2016,June,1 North West Metro, Melbourne,"26,528","18,157.9"
2016,June,1 North West Metro, Melton,"8,985","6,353.4"
2016,June,1 North West Metro, Moonee Valley,"7,327","5,963.2"
2016,June,1 North West Metro, Moreland,"11,807","6,852.8"
2016,June,1 North West Metro, Nillumbik,"2,113","3,292.6"
2016,June,1 North West Metro, Whittlesea,"11,975","5,783.4"
2016,June,1 North West Metro, Wyndham,"12,367","5,447.8"
2016,June,1 North West Metro, Yarra,"10,727","11,547.6"
2016,June,1 North West Metro,Total,"155,972","7,615.8"
2016,June,2 Eastern, Alpine,295,"2,345.4"
2016,June,2 Eastern, Bass Coast,"2,017","6,027.4"
2016,June,2 Eastern, Baw Baw,"2,798","5,675.9"
2016,June,2 Eastern, Benalla,947,"6,773.0"
2016,June,2 Eastern, Boroondara,"6,343","3,578.0"
2016,June,2 Eastern, East Gippsland,"3,213","7,046.1"
2016,June,2 Eastern, Greater Shepparton,"5,889","9,050.0"
2016,June,2 Eastern, Indigo,356,"2,202.3"
2016,June,2 Eastern, Knox,"8,056","5,023.9"
2016,June,2 Eastern, Latrobe,"9,853","13,203.9"
2016,June,2 Eastern, Manningham,"3,445","2,810.6"
2016,June,2 Eastern, Mansfield,441,"5,084.2"
2016,June,2 Eastern, Maroondah,"6,350","5,531.4"
2016,June,2 Eastern, Mitchell,"3,096","7,407.6"
2016,June,2 Eastern, Moira,"1,207","4,093.5"
2016,June,2 Eastern, Monash,"8,160","4,236.2"
2016,June,2 Eastern, Murrindindi,569,"4,049.2"
2016,June,2 Eastern, South Gippsland,945,"3,245.0"
2016,June,2 Eastern, Strathbogie,421,"4,064.9"
2016,June,2 Eastern, Towong,192,"3,175.7"
2016,June,2 Eastern, Wangaratta,"1,723","6,026.2"
2016,June,2 Eastern, Wellington,"3,201","7,353.5"
2016,June,2 Eastern, Whitehorse,"5,709","3,365.3"
2016,June,2 Eastern, Wodonga,"2,558","6,379.1"
2016,June,2 Eastern, Yarra Ranges,"6,144","3,958.1"
2016,June,2 Eastern,Total,"83,928","5,071.1"
2016,June,3 Southern Metro, Bayside,"3,971","3,858.6"
2016,June,3 Southern Metro, Cardinia,"5,088","5,214.6"
2016,June,3 Southern Metro, Casey,"16,443","5,256.9"
2016,June,3 Southern Metro, Frankston,"11,571","8,294.5"
2016,June,3 Southern Metro, Glen Eira,"5,394","3,630.3"
2016,June,3 Southern Metro, Greater Dandenong,"14,619","9,124.2"
2016,June,3 Southern Metro, Kingston,"8,379","5,271.8"
2016,June,3 Southern Metro, Mornington Peninsula,"8,732","5,405.9"
2016,June,3 Southern Metro, Port Phillip,"10,185","9,376.1"
2016,June,3 Southern Metro, Stonnington,"8,497","7,654.7"
2016,June,3 Southern Metro,Total,"92,879","6,185.0"
2016,June,4 Western, Ararat,877,"7,467.0"
2016,June,4 Western, Ballarat,"8,955","8,652.2"
2016,June,4 Western, Buloke,185,"2,944.0"
2016,June,4 Western, Campaspe,"2,619","6,966.4"
2016,June,4 Western, Central Goldfields,994,"7,595.3"
2016,June,4 Western, Colac-Otway,"1,240","5,804.7"
2016,June,4 Western, Corangamite,603,"3,712.4"
2016,June,4 Western, Gannawarra,440,"4,163.9"
2016,June,4 Western, Glenelg,"1,315","6,655.2"
2016,June,4 Western, Golden Plains,645,"2,929.7"
2016,June,4 Western, Greater Bendigo,"6,970","6,208.4"
2016,June,4 Western, Greater Geelong,"17,980","7,506.4"
2016,June,4 Western, Hepburn,646,"4,161.0"
2016,June,4 Western, Hindmarsh,196,"3,388.7"
2016,June,4 Western, Horsham,"1,872","9,414.6"
2016,June,4 Western, Loddon,360,"4,763.2"
2016,June,4 Western, Macedon Ranges,"1,565","3,296.1"
2016,June,4 Western, Mildura,"4,766","8,719.7"
2016,June,4 Western, Moorabool,"1,754","5,368.5"
2016,June,4 Western, Mount Alexander,915,"4,791.3"
2016,June,4 Western, Moyne,427,"2,551.2"
2016,June,4 Western, Northern Grampians,863,"7,458.9"
2016,June,4 Western, Pyrenees,395,"5,399.1"
2016,June,4 Western, Queenscliffe,147,"5,018.8"
2016,June,4 Western, Southern Grampians,895,"5,551.1"
2016,June,4 Western, Surf Coast,"1,148","3,768.3"
2016,June,4 Western, Swan Hill,"1,668","7,982.4"
2016,June,4 Western, Warrnambool,"2,274","6,641.0"
2016,June,4 Western, West Wimmera,107,"2,717.8"
2016,June,4 Western, Yarriambiack,342,"5,071.9"
2016,June,4 Western,Total,"63,163","6,528.0"
2016,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,862,
2016,June,Justice Institutions and Immigration Facilities,Total,862,
