Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2016,June,Unincorporated Vic, Unincorporated Vic,99,
2016,June,Unincorporated Vic,Total,99,
2015,June,1 North West Metro, Banyule,"6,790","5,385.1"
2015,June,1 North West Metro, Brimbank,"14,227","7,083.0"
2015,June,1 North West Metro, Darebin,"10,916","7,182.8"
2015,June,1 North West Metro, Hobsons Bay,"5,339","5,823.9"
2015,June,1 North West Metro, Hume,"14,007","7,068.0"
2015,June,1 North West Metro, Maribyrnong,"6,449","7,606.5"
2015,June,1 North West Metro, Melbourne,"24,347","17,788.2"
2015,June,1 North West Metro, Melton,"7,686","5,696.9"
2015,June,1 North West Metro, Moonee Valley,"6,583","5,475.3"
2015,June,1 North West Metro, Moreland,"10,420","6,207.2"
2015,June,1 North West Metro, Nillumbik,"1,730","2,716.9"
2015,June,1 North West Metro, Whittlesea,"9,939","5,049.1"
2015,June,1 North West Metro, Wyndham,"10,275","4,805.6"
2015,June,1 North West Metro, Yarra,"9,715","10,803.7"
2015,June,1 North West Metro,Total,"138,423","6,999.2"
2015,June,2 Eastern, Alpine,327,"2,630.9"
2015,June,2 Eastern, Bass Coast,"1,891","5,804.9"
2015,June,2 Eastern, Baw Baw,"2,371","4,956.4"
2015,June,2 Eastern, Benalla,749,"5,379.6"
2015,June,2 Eastern, Boroondara,"5,541","3,170.8"
2015,June,2 Eastern, East Gippsland,"3,049","6,795.5"
2015,June,2 Eastern, Greater Shepparton,"5,529","8,573.6"
2015,June,2 Eastern, Indigo,346,"2,173.1"
2015,June,2 Eastern, Knox,"7,031","4,430.4"
2015,June,2 Eastern, Latrobe,"8,404","11,316.1"
2015,June,2 Eastern, Manningham,"3,331","2,757.8"
2015,June,2 Eastern, Mansfield,332,"3,892.1"
2015,June,2 Eastern, Maroondah,"5,718","5,059.1"
2015,June,2 Eastern, Mitchell,"2,362","5,866.3"
2015,June,2 Eastern, Moira,"1,098","3,749.0"
2015,June,2 Eastern, Monash,"7,104","3,755.3"
2015,June,2 Eastern, Murrindindi,513,"3,704.5"
2015,June,2 Eastern, South Gippsland,933,"3,241.7"
2015,June,2 Eastern, Strathbogie,320,"3,145.0"
2015,June,2 Eastern, Towong,138,"2,298.1"
2015,June,2 Eastern, Wangaratta,"1,573","5,589.3"
2015,June,2 Eastern, Wellington,"2,943","6,816.9"
2015,June,2 Eastern, Whitehorse,"5,803","3,481.5"
2015,June,2 Eastern, Wodonga,"2,485","6,335.6"
2015,June,2 Eastern, Yarra Ranges,"5,150","3,357.4"
2015,June,2 Eastern,Total,"75,041","4,603.1"
2015,June,3 Southern Metro, Bayside,"3,410","3,367.3"
2015,June,3 Southern Metro, Cardinia,"4,201","4,551.6"
2015,June,3 Southern Metro, Casey,"14,304","4,775.5"
2015,June,3 Southern Metro, Frankston,"10,594","7,688.5"
2015,June,3 Southern Metro, Glen Eira,"4,600","3,152.3"
2015,June,3 Southern Metro, Greater Dandenong,"12,700","8,137.8"
2015,June,3 Southern Metro, Kingston,"7,515","4,809.8"
2015,June,3 Southern Metro, Mornington Peninsula,"7,554","4,756.0"
2015,June,3 Southern Metro, Port Phillip,"9,264","8,708.3"
2015,June,3 Southern Metro, Stonnington,"7,412","6,861.2"
2015,June,3 Southern Metro,Total,"81,554","5,576.9"
2015,June,4 Western, Ararat,884,"7,591.9"
2015,June,4 Western, Ballarat,"8,391","8,268.7"
2015,June,4 Western, Buloke,198,"3,139.9"
2015,June,4 Western, Campaspe,"2,333","6,233.1"
2015,June,4 Western, Central Goldfields,809,"6,247.1"
2015,June,4 Western, Colac-Otway,"1,044","4,917.6"
2015,June,4 Western, Corangamite,464,"2,851.2"
2015,June,4 Western, Gannawarra,414,"3,929.4"
2015,June,4 Western, Glenelg,"1,363","6,911.1"
2015,June,4 Western, Golden Plains,525,"2,454.6"
2015,June,4 Western, Greater Bendigo,"6,095","5,545.5"
2015,June,4 Western, Greater Geelong,"15,019","6,448.0"
2015,June,4 Western, Hepburn,542,"3,534.6"
2015,June,4 Western, Hindmarsh,140,"2,410.5"
2015,June,4 Western, Horsham,"1,900","9,599.8"
2015,June,4 Western, Loddon,258,"3,425.8"
2015,June,4 Western, Macedon Ranges,"1,468","3,165.6"
2015,June,4 Western, Mildura,"4,584","8,464.4"
2015,June,4 Western, Moorabool,"1,524","4,800.3"
2015,June,4 Western, Mount Alexander,649,"3,453.2"
2015,June,4 Western, Moyne,428,"2,579.7"
2015,June,4 Western, Northern Grampians,773,"6,638.6"
2015,June,4 Western, Pyrenees,369,"5,140.0"
2015,June,4 Western, Queenscliffe,121,"4,125.5"
2015,June,4 Western, Southern Grampians,722,"4,467.3"
2015,June,4 Western, Surf Coast,945,"3,189.9"
2015,June,4 Western, Swan Hill,"1,617","7,739.4"
2015,June,4 Western, Warrnambool,"2,057","6,049.1"
2015,June,4 Western, West Wimmera,87,"2,189.2"
2015,June,4 Western, Yarriambiack,230,"3,369.5"
2015,June,4 Western,Total,"55,953","5,882.6"
2015,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,731,
2015,June,Justice Institutions and Immigration Facilities,Total,731,
2015,June,Unincorporated Vic, Unincorporated Vic,110,
2015,June,Unincorporated Vic,Total,110,
2014,June,1 North West Metro, Banyule,"6,842","5,468.9"
2014,June,1 North West Metro, Brimbank,"14,328","7,219.3"
2014,June,1 North West Metro, Darebin,"10,961","7,331.2"
2014,June,1 North West Metro, Hobsons Bay,"5,528","6,113.9"
2014,June,1 North West Metro, Hume,"12,910","6,749.3"
2014,June,1 North West Metro, Maribyrnong,"6,919","8,390.4"
2014,June,1 North West Metro, Melbourne,"24,004","18,756.8"
2014,June,1 North West Metro, Melton,"7,391","5,715.8"
2014,June,1 North West Metro, Moonee Valley,"6,308","5,356.5"
2014,June,1 North West Metro, Moreland,"9,950","6,063.4"
2014,June,1 North West Metro, Nillumbik,"1,617","2,549.1"
2014,June,1 North West Metro, Whittlesea,"10,364","5,515.7"
2014,June,1 North West Metro, Wyndham,"10,281","5,101.9"
2014,June,1 North West Metro, Yarra,"9,900","11,349.6"
2014,June,1 North West Metro,Total,"137,303","7,164.4"
2014,June,2 Eastern, Alpine,324,"2,622.4"
2014,June,2 Eastern, Bass Coast,"2,132","6,679.8"
2014,June,2 Eastern, Baw Baw,"2,210","4,738.0"
2014,June,2 Eastern, Benalla,850,"6,116.0"
2014,June,2 Eastern, Boroondara,"6,129","3,549.8"
2014,June,2 Eastern, East Gippsland,"2,898","6,545.2"
2014,June,2 Eastern, Greater Shepparton,"5,425","8,487.3"
2014,June,2 Eastern, Indigo,335,"2,129.4"
2014,June,2 Eastern, Knox,"7,312","4,644.5"
2014,June,2 Eastern, Latrobe,"7,543","10,174.8"
2014,June,2 Eastern, Manningham,"3,179","2,661.7"
2014,June,2 Eastern, Mansfield,337,"4,014.3"
2014,June,2 Eastern, Maroondah,"5,884","5,280.9"
2014,June,2 Eastern, Mitchell,"2,054","5,255.3"
2014,June,2 Eastern, Moira,"1,126","3,869.4"
2014,June,2 Eastern, Monash,"6,990","3,755.0"
2014,June,2 Eastern, Murrindindi,520,"3,799.2"
2014,June,2 Eastern, South Gippsland,867,"3,039.9"
2014,June,2 Eastern, Strathbogie,369,"3,683.4"
2014,June,2 Eastern, Towong,199,"3,326.6"
2014,June,2 Eastern, Wangaratta,"1,685","6,047.7"
2014,June,2 Eastern, Wellington,"2,807","6,535.8"
2014,June,2 Eastern, Whitehorse,"5,802","3,530.9"
2014,June,2 Eastern, Wodonga,"2,365","6,163.8"
2014,June,2 Eastern, Yarra Ranges,"5,366","3,531.0"
2014,June,2 Eastern,Total,"74,708","4,639.6"
2014,June,3 Southern Metro, Bayside,"3,370","3,376.9"
2014,June,3 Southern Metro, Cardinia,"4,083","4,636.1"
2014,June,3 Southern Metro, Casey,"12,240","4,250.9"
2014,June,3 Southern Metro, Frankston,"10,924","8,021.7"
2014,June,3 Southern Metro, Glen Eira,"4,544","3,162.3"
2014,June,3 Southern Metro, Greater Dandenong,"12,078","7,939.0"
2014,June,3 Southern Metro, Kingston,"7,377","4,783.7"
2014,June,3 Southern Metro, Mornington Peninsula,"7,804","4,986.6"
2014,June,3 Southern Metro, Port Phillip,"8,723","8,351.3"
2014,June,3 Southern Metro, Stonnington,"7,276","6,871.0"
2014,June,3 Southern Metro,Total,"78,419","5,488.2"
2014,June,4 Western, Ararat,765,"6,617.6"
2014,June,4 Western, Ballarat,"7,595","7,601.5"
2014,June,4 Western, Buloke,161,"2,541.4"
2014,June,4 Western, Campaspe,"2,129","5,702.0"
2014,June,4 Western, Central Goldfields,756,"5,867.7"
2014,June,4 Western, Colac-Otway,"1,153","5,456.4"
2014,June,4 Western, Corangamite,475,"2,907.0"
2014,June,4 Western, Gannawarra,452,"4,290.9"
2014,June,4 Western, Glenelg,"1,284","6,499.6"
2014,June,4 Western, Golden Plains,390,"1,866.1"
2014,June,4 Western, Greater Bendigo,"6,189","5,732.9"
2014,June,4 Western, Greater Geelong,"13,977","6,137.2"
2014,June,4 Western, Hepburn,501,"3,299.5"
2014,June,4 Western, Hindmarsh,149,"2,549.6"
2014,June,4 Western, Horsham,"1,437","7,276.7"
2014,June,4 Western, Loddon,253,"3,367.5"
2014,June,4 Western, Macedon Ranges,"1,450","3,188.8"
2014,June,4 Western, Mildura,"4,627","8,610.5"
2014,June,4 Western, Moorabool,"1,402","4,513.0"
2014,June,4 Western, Mount Alexander,632,"3,416.0"
2014,June,4 Western, Moyne,464,"2,810.1"
2014,June,4 Western, Northern Grampians,648,"5,502.3"
2014,June,4 Western, Pyrenees,355,"5,037.6"
2014,June,4 Western, Queenscliffe,85,"2,862.0"
2014,June,4 Western, Southern Grampians,809,"4,976.9"
2014,June,4 Western, Surf Coast,"1,024","3,546.4"
2014,June,4 Western, Swan Hill,"1,508","7,201.5"
2014,June,4 Western, Warrnambool,"1,859","5,511.6"
2014,June,4 Western, West Wimmera,98,"2,426.9"
2014,June,4 Western, Yarriambiack,192,"2,773.0"
2014,June,4 Western,Total,"52,819","5,627.9"
2014,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,838,
2014,June,Justice Institutions and Immigration Facilities,Total,838,
2014,June,Unincorporated Vic, Unincorporated Vic,60,
2014,June,Unincorporated Vic,Total,60,
2013,June,1 North West Metro, Banyule,"5,699","4,584.4"
2013,June,1 North West Metro, Brimbank,"15,262","7,780.0"
2013,June,1 North West Metro, Darebin,"9,127","6,197.4"
2013,June,1 North West Metro, Hobsons Bay,"5,774","6,474.0"
2013,June,1 North West Metro, Hume,"11,589","6,268.6"
2013,June,1 North West Metro, Maribyrnong,"7,031","8,812.8"
2013,June,1 North West Metro, Melbourne,"24,553","20,683.0"
2013,June,1 North West Metro, Melton,"6,519","5,260.0"
2013,June,1 North West Metro, Moonee Valley,"6,606","5,721.3"
2013,June,1 North West Metro, Moreland,"9,261","5,777.9"
2013,June,1 North West Metro, Nillumbik,"1,476","2,336.4"
2013,June,1 North West Metro, Whittlesea,"9,327","5,202.7"
2013,June,1 North West Metro, Wyndham,"10,061","5,289.4"
2013,June,1 North West Metro, Yarra,"8,817","10,501.2"
2013,June,1 North West Metro,Total,"131,102","7,061.4"
2013,June,2 Eastern, Alpine,316,"2,572.7"
2013,June,2 Eastern, Bass Coast,"1,786","5,700.4"
2013,June,2 Eastern, Baw Baw,"2,178","4,773.5"
2013,June,2 Eastern, Benalla,811,"5,843.8"
2013,June,2 Eastern, Boroondara,"5,765","3,381.5"
2013,June,2 Eastern, East Gippsland,"3,008","6,866.2"
2013,June,2 Eastern, Greater Shepparton,"4,894","7,738.3"
2013,June,2 Eastern, Indigo,347,"2,223.6"
2013,June,2 Eastern, Knox,"6,697","4,283.4"
2013,June,2 Eastern, Latrobe,"7,665","10,340.8"
2013,June,2 Eastern, Manningham,"2,813","2,376.7"
2013,June,2 Eastern, Mansfield,267,"3,226.2"
2013,June,2 Eastern, Maroondah,"5,131","4,673.9"
2013,June,2 Eastern, Mitchell,"1,904","5,038.6"
2013,June,2 Eastern, Moira,"1,045","3,615.3"
2013,June,2 Eastern, Monash,"6,630","3,617.9"
2013,June,2 Eastern, Murrindindi,478,"3,524.3"
2013,June,2 Eastern, South Gippsland,975,"3,448.5"
2013,June,2 Eastern, Strathbogie,403,"4,084.3"
2013,June,2 Eastern, Towong,186,"3,120.3"
2013,June,2 Eastern, Wangaratta,"1,715","6,202.5"
2013,June,2 Eastern, Wellington,"2,904","6,797.6"
2013,June,2 Eastern, Whitehorse,"5,645","3,482.8"
2013,June,2 Eastern, Wodonga,"2,360","6,280.8"
2013,June,2 Eastern, Yarra Ranges,"5,027","3,331.3"
2013,June,2 Eastern,Total,"70,950","4,457.5"
2013,June,3 Southern Metro, Bayside,"3,441","3,502.2"
2013,June,3 Southern Metro, Cardinia,"3,995","4,722.7"
2013,June,3 Southern Metro, Casey,"11,953","4,299.3"
2013,June,3 Southern Metro, Frankston,"10,709","7,970.9"
2013,June,3 Southern Metro, Glen Eira,"4,650","3,291.8"
2013,June,3 Southern Metro, Greater Dandenong,"12,206","8,219.4"
2013,June,3 Southern Metro, Kingston,"7,125","4,677.2"
2013,June,3 Southern Metro, Mornington Peninsula,"7,150","4,642.8"
2013,June,3 Southern Metro, Port Phillip,"9,079","8,887.4"
2013,June,3 Southern Metro, Stonnington,"7,244","6,999.9"
2013,June,3 Southern Metro,Total,"77,552","5,551.5"
2013,June,4 Western, Ararat,879,"7,650.1"
2013,June,4 Western, Ballarat,"8,023","8,158.1"
2013,June,4 Western, Buloke,224,"3,506.6"
2013,June,4 Western, Campaspe,"2,199","5,909.2"
2013,June,4 Western, Central Goldfields,868,"6,773.3"
2013,June,4 Western, Colac-Otway,"1,069","5,082.0"
2013,June,4 Western, Corangamite,467,"2,845.8"
2013,June,4 Western, Gannawarra,432,"4,104.1"
2013,June,4 Western, Glenelg,"1,099","5,551.3"
2013,June,4 Western, Golden Plains,404,"1,984.1"
2013,June,4 Western, Greater Bendigo,"5,805","5,478.6"
2013,June,4 Western, Greater Geelong,"13,575","6,077.7"
2013,June,4 Western, Hepburn,542,"3,608.0"
2013,June,4 Western, Hindmarsh,213,"3,639.8"
2013,June,4 Western, Horsham,"1,310","6,651.8"
2013,June,4 Western, Loddon,306,"4,070.2"
2013,June,4 Western, Macedon Ranges,"1,350","3,027.2"
2013,June,4 Western, Mildura,"4,533","8,527.7"
2013,June,4 Western, Moorabool,"1,466","4,820.8"
2013,June,4 Western, Mount Alexander,622,"3,408.8"
2013,June,4 Western, Moyne,472,"2,872.6"
2013,June,4 Western, Northern Grampians,689,"5,799.7"
2013,June,4 Western, Pyrenees,266,"3,834.0"
2013,June,4 Western, Queenscliffe,86,"2,864.8"
2013,June,4 Western, Southern Grampians,821,"5,019.9"
2013,June,4 Western, Surf Coast,"1,039","3,680.7"
2013,June,4 Western, Swan Hill,"1,394","6,637.1"
2013,June,4 Western, Warrnambool,"1,846","5,523.1"
2013,June,4 Western, West Wimmera,149,"3,613.0"
2013,June,4 Western, Yarriambiack,248,"3,526.7"
2013,June,4 Western,Total,"52,396","5,654.6"
2013,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,969,
2013,June,Justice Institutions and Immigration Facilities,Total,969,
2013,June,Unincorporated Vic, Unincorporated Vic,104,
2013,June,Unincorporated Vic,Total,104,
2012,June,1 North West Metro, Banyule,"6,028","4,877.7"
2012,June,1 North West Metro, Brimbank,"14,679","7,575.3"
2012,June,1 North West Metro, Darebin,"9,983","6,885.5"
2012,June,1 North West Metro, Hobsons Bay,"5,409","6,123.0"
2012,June,1 North West Metro, Hume,"11,560","6,450.8"
2012,June,1 North West Metro, Maribyrnong,"7,204","9,334.1"
2012,June,1 North West Metro, Melbourne,"24,285","22,574.3"
2012,June,1 North West Metro, Melton,"6,791","5,739.1"
2012,June,1 North West Metro, Moonee Valley,"6,490","5,709.4"
2012,June,1 North West Metro, Moreland,"9,447","6,018.5"
2012,June,1 North West Metro, Nillumbik,"1,448","2,300.8"
2012,June,1 North West Metro, Whittlesea,"9,686","5,697.9"
2012,June,1 North West Metro, Wyndham,"10,637","5,938.1"
2012,June,1 North West Metro, Yarra,"9,315","11,462.1"
2012,June,1 North West Metro,Total,"132,962","7,399.4"
2012,June,2 Eastern, Alpine,330,"2,708.7"
2012,June,2 Eastern, Bass Coast,"1,741","5,650.6"
2012,June,2 Eastern, Baw Baw,"1,954","4,390.4"
2012,June,2 Eastern, Benalla,767,"5,538.3"
2012,June,2 Eastern, Boroondara,"5,800","3,442.5"
2012,June,2 Eastern, East Gippsland,"2,412","5,566.7"
2012,June,2 Eastern, Greater Shepparton,"5,119","8,182.3"
2012,June,2 Eastern, Indigo,374,"2,420.1"
2012,June,2 Eastern, Knox,"6,585","4,237.3"
2012,June,2 Eastern, Latrobe,"7,105","9,600.8"
2012,June,2 Eastern, Manningham,"2,948","2,510.2"
2012,June,2 Eastern, Mansfield,259,"3,198.7"
2012,June,2 Eastern, Maroondah,"5,093","4,696.9"
2012,June,2 Eastern, Mitchell,"1,819","4,999.5"
2012,June,2 Eastern, Moira,"1,187","4,139.5"
2012,June,2 Eastern, Monash,"6,231","3,455.7"
2012,June,2 Eastern, Murrindindi,464,"3,448.3"
2012,June,2 Eastern, South Gippsland,876,"3,136.9"
2012,June,2 Eastern, Strathbogie,332,"3,407.2"
2012,June,2 Eastern, Towong,193,"3,249.2"
2012,June,2 Eastern, Wangaratta,"1,683","6,133.8"
2012,June,2 Eastern, Wellington,"2,478","5,838.1"
2012,June,2 Eastern, Whitehorse,"5,391","3,376.5"
2012,June,2 Eastern, Wodonga,"2,463","6,700.6"
2012,June,2 Eastern, Yarra Ranges,"5,016","3,347.0"
2012,June,2 Eastern,Total,"68,620","4,361.9"
2012,June,3 Southern Metro, Bayside,"3,468","3,576.3"
2012,June,3 Southern Metro, Cardinia,"3,625","4,507.5"
2012,June,3 Southern Metro, Casey,"11,129","4,133.5"
2012,June,3 Southern Metro, Frankston,"9,653","7,302.1"
2012,June,3 Southern Metro, Glen Eira,"4,583","3,294.4"
2012,June,3 Southern Metro, Greater Dandenong,"11,238","7,744.1"
2012,June,3 Southern Metro, Kingston,"7,146","4,750.2"
2012,June,3 Southern Metro, Mornington Peninsula,"7,244","4,775.2"
2012,June,3 Southern Metro, Port Phillip,"8,513","8,522.1"
2012,June,3 Southern Metro, Stonnington,"7,341","7,238.9"
2012,June,3 Southern Metro,Total,"73,940","5,410.9"
2012,June,4 Western, Ararat,914,"8,017.5"
2012,June,4 Western, Ballarat,"8,373","8,656.2"
2012,June,4 Western, Buloke,206,"3,201.7"
2012,June,4 Western, Campaspe,"2,139","5,774.7"
2012,June,4 Western, Central Goldfields,685,"5,387.8"
2012,June,4 Western, Colac-Otway,"1,166","5,578.4"
2012,June,4 Western, Corangamite,542,"3,290.8"
2012,June,4 Western, Gannawarra,382,"3,638.8"
2012,June,4 Western, Glenelg,"1,111","5,604.0"
2012,June,4 Western, Golden Plains,348,"1,775.1"
2012,June,4 Western, Greater Bendigo,"5,399","5,196.1"
2012,June,4 Western, Greater Geelong,"12,803","5,842.1"
2012,June,4 Western, Hepburn,546,"3,683.0"
2012,June,4 Western, Hindmarsh,200,"3,414.7"
2012,June,4 Western, Horsham,"1,312","6,691.1"
2012,June,4 Western, Loddon,318,"4,223.7"
2012,June,4 Western, Macedon Ranges,"1,209","2,760.7"
2012,June,4 Western, Mildura,"4,395","8,375.4"
2012,June,4 Western, Moorabool,"1,231","4,192.4"
2012,June,4 Western, Mount Alexander,682,"3,777.8"
2012,June,4 Western, Moyne,519,"3,183.3"
2012,June,4 Western, Northern Grampians,702,"5,864.7"
2012,June,4 Western, Pyrenees,221,"3,221.6"
2012,June,4 Western, Queenscliffe,109,"3,565.6"
2012,June,4 Western, Southern Grampians,804,"4,884.3"
2012,June,4 Western, Surf Coast,"1,161","4,217.2"
2012,June,4 Western, Swan Hill,"1,352","6,447.0"
2012,June,4 Western, Warrnambool,"1,851","5,599.1"
2012,June,4 Western, West Wimmera,107,"2,539.2"
2012,June,4 Western, Yarriambiack,304,"4,284.7"
2012,June,4 Western,Total,"51,091","5,591.7"
2012,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,784,
2012,June,Justice Institutions and Immigration Facilities,Total,784,
2012,June,Unincorporated Vic, Unincorporated Vic,117,
2012,June,Unincorporated Vic,Total,117,
2011,June,1 North West Metro, Banyule,"5,481","4,456.7"
2011,June,1 North West Metro, Brimbank,"13,852","7,233.6"
2011,June,1 North West Metro, Darebin,"9,037","6,322.1"
2011,June,1 North West Metro, Hobsons Bay,"4,591","5,253.2"
2011,June,1 North West Metro, Hume,"10,674","6,124.3"
2011,June,1 North West Metro, Maribyrnong,"7,109","9,459.2"
2011,June,1 North West Metro, Melbourne,"24,501","24,442.3"
2011,June,1 North West Metro, Melton,"5,602","4,973.2"
2011,June,1 North West Metro, Moonee Valley,"5,973","5,324.5"
2011,June,1 North West Metro, Moreland,"8,688","5,632.5"
2011,June,1 North West Metro, Nillumbik,"1,448","2,308.8"
2011,June,1 North West Metro, Whittlesea,"8,247","5,128.7"
2011,June,1 North West Metro, Wyndham,"9,082","5,448.1"
2011,June,1 North West Metro, Yarra,"8,852","11,218.8"
2011,June,1 North West Metro,Total,"123,137","7,065.9"
2011,June,2 Eastern, Alpine,293,"2,427.9"
2011,June,2 Eastern, Bass Coast,"1,696","5,609.8"
2011,June,2 Eastern, Baw Baw,"1,591","3,666.8"
2011,June,2 Eastern, Benalla,752,"5,442.2"
2011,June,2 Eastern, Boroondara,"5,188","3,105.4"
2011,June,2 Eastern, East Gippsland,"2,615","6,106.1"
2011,June,2 Eastern, Greater Shepparton,"4,717","7,639.6"
2011,June,2 Eastern, Indigo,379,"2,474.4"
2011,June,2 Eastern, Knox,"5,991","3,874.5"
2011,June,2 Eastern, Latrobe,"6,398","8,670.8"
2011,June,2 Eastern, Manningham,"2,725","2,334.0"
2011,June,2 Eastern, Mansfield,315,"3,966.3"
2011,June,2 Eastern, Maroondah,"4,941","4,603.9"
2011,June,2 Eastern, Mitchell,"2,002","5,702.9"
2011,June,2 Eastern, Moira,"1,113","3,918.2"
2011,June,2 Eastern, Monash,"6,737","3,798.8"
2011,June,2 Eastern, Murrindindi,452,"3,389.6"
2011,June,2 Eastern, South Gippsland,878,"3,191.3"
2011,June,2 Eastern, Strathbogie,337,"3,511.1"
2011,June,2 Eastern, Towong,172,"2,906.4"
2011,June,2 Eastern, Wangaratta,"1,641","6,030.4"
2011,June,2 Eastern, Wellington,"2,357","5,602.8"
2011,June,2 Eastern, Whitehorse,"5,231","3,320.5"
2011,June,2 Eastern, Wodonga,"2,293","6,365.0"
2011,June,2 Eastern, Yarra Ranges,"5,041","3,385.5"
2011,June,2 Eastern,Total,"65,855","4,232.7"
2011,June,3 Southern Metro, Bayside,"2,796","2,908.9"
2011,June,3 Southern Metro, Cardinia,"3,239","4,271.3"
2011,June,3 Southern Metro, Casey,"11,112","4,252.9"
2011,June,3 Southern Metro, Frankston,"9,516","7,300.3"
2011,June,3 Southern Metro, Glen Eira,"4,465","3,255.5"
2011,June,3 Southern Metro, Greater Dandenong,"11,013","7,746.5"
2011,June,3 Southern Metro, Kingston,"6,893","4,647.9"
2011,June,3 Southern Metro, Mornington Peninsula,"6,980","4,676.1"
2011,June,3 Southern Metro, Port Phillip,"8,319","8,552.0"
2011,June,3 Southern Metro, Stonnington,"6,920","7,000.3"
2011,June,3 Southern Metro,Total,"71,253","5,330.9"
2011,June,4 Western, Ararat,773,"6,825.0"
2011,June,4 Western, Ballarat,"7,727","8,117.9"
2011,June,4 Western, Buloke,302,"4,671.3"
2011,June,4 Western, Campaspe,"1,886","5,117.4"
2011,June,4 Western, Central Goldfields,730,"5,803.3"
2011,June,4 Western, Colac-Otway,"1,072","5,154.1"
2011,June,4 Western, Corangamite,521,"3,152.6"
2011,June,4 Western, Gannawarra,515,"4,926.8"
2011,June,4 Western, Glenelg,"1,287","6,484.3"
2011,June,4 Western, Golden Plains,323,"1,703.8"
2011,June,4 Western, Greater Bendigo,"4,804","4,710.0"
2011,June,4 Western, Greater Geelong,"12,605","5,840.1"
2011,June,4 Western, Hepburn,495,"3,383.7"
2011,June,4 Western, Hindmarsh,149,"2,544.4"
2011,June,4 Western, Horsham,"1,455","7,452.7"
2011,June,4 Western, Loddon,323,"4,280.4"
2011,June,4 Western, Macedon Ranges,"1,247","2,907.9"
2011,June,4 Western, Mildura,"4,708","9,084.9"
2011,June,4 Western, Moorabool,"1,075","3,749.6"
2011,June,4 Western, Mount Alexander,642,"3,592.2"
2011,June,4 Western, Moyne,450,"2,783.4"
2011,June,4 Western, Northern Grampians,842,"6,985.2"
2011,June,4 Western, Pyrenees,220,"3,254.9"
2011,June,4 Western, Queenscliffe,98,"3,201.6"
2011,June,4 Western, Southern Grampians,815,"4,918.2"
2011,June,4 Western, Surf Coast,"1,015","3,806.3"
2011,June,4 Western, Swan Hill,"1,402","6,719.4"
2011,June,4 Western, Warrnambool,"1,861","5,696.9"
2011,June,4 Western, West Wimmera,90,"2,099.4"
2011,June,4 Western, Yarriambiack,257,"3,577.9"
2011,June,4 Western,Total,"49,689","5,509.3"
2011,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,715,
2011,June,Justice Institutions and Immigration Facilities,Total,715,
2011,June,Unincorporated Vic, Unincorporated Vic,166,
2011,June,Unincorporated Vic,Total,166,